Title,year,SJR,h-index,avg_citations
Humanomics,2002,0.103,12,0.0
Research in Healthcare Financial Management,2002,0.103,8,0.0
African Economic History,2002,0.103,7,0.0
Jahrbuch für Wirtschaftsgeschichte,2002,0.103,8,0.0
International Journal of Consumer Studies,2002,0.103,50,0.03
Financial History Review,2002,0.102,15,0.0
America Latina en la Historia Economica,2002,0.102,3,0.0
South Asia Research,2002,0.101,12,0.16
Entreprises et Histoire,2002,0.101,7,0.0
Reflets et Perspectives de la Vie Economique,2002,0.101,7,0.0
Revue Internationale de Droit Economique,2002,0.101,6,0.0
Innovations,2002,0.101,6,0.0
Revista Brasileira de Economia,2002,0.101,9,0.0
Economic Research-Ekonomska Istrazivanja,2002,0.101,11,0.0
Journal of Financial Crime,2002,0.101,15,0.01
International Journal of Entrepreneurship and Innovation Management,2002,0.101,19,0.03
Etudes Rurales,2002,0.101,8,0.04
Revista Galega de Economia,2002,0.101,5,0.0
Economic Change and Restructuring,2002,0.101,15,0.0
Journal of Hospitality Financial Management,2002,0.1,8,0.0
Wood Markets Newsletter,2002,0.1,1,0.0
International Insolvency Review,2002,0.1,6,0.0
Review of Economic Conditions in Italy,2002,0.1,5,0.0
Real Estate Taxation,2002,0.1,2,0.0
International Woodfiber Report,2002,0.1,1,0.0
Journal of Taxation,2002,0.1,7,0.01
OPEC Bulletin,2002,0.1,2,0.0
Middle East Economic Survey,2002,0.1,1,0.0
Ekonomiska Samfundets Tidskrift,2002,0.0,2,0.0
Review of Political Economy,2002,0.0,22,0.0
Applied Health Economics and Health Policy,2002,0.0,30,0.0
Journal of Income Distribution,2002,0.0,8,0.0
Studies in Nonlinear Dynamics and Econometrics,2002,0.0,25,0.0
Fuels and Lubes International,2002,0.0,2,0.0
Historical Materialism,2002,0.0,24,0.0
"Politics, Philosophy and Economics",2002,0.0,16,0.0
Juncture,2002,0.0,12,0.0
Studies in Economics and Finance,2002,0.0,13,0.0
Journal of Emerging Market Finance,2002,0.0,12,0.0
Revue Francaise de Gestion,2002,0.0,15,0.0
Journal of International Trade Law and Policy,2002,0.0,7,0.0
Journal of Pension Economics and Finance,2002,0.0,22,0.0
World Trade Review,2002,0.0,25,0.0
Review of Accounting and Finance,2002,0.0,14,0.0
Fuzzy Economic Review,2002,0.0,8,0.0
Young Consumers,2002,0.0,19,0.0
Quarterly Journal of Economics,2003,16.387,219,6.44
Journal of Finance,2003,15.465,249,5.01
Journal of Financial Economics,2003,14.602,206,4.15
Review of Financial Studies,2003,10.574,145,3.23
Econometrica,2003,9.055,158,2.97
Journal of Economic Literature,2003,8.336,140,7.68
Journal of Marketing,2003,7.603,208,3.91
Journal of Accounting and Economics,2003,7.461,122,6.39
Journal of Political Economy,2003,7.202,159,2.67
Journal of Business,2003,6.267,81,1.91
American Economic Review,2003,5.965,237,2.68
Journal of Financial Markets,2003,5.481,49,1.7
Journal of Marketing Research,2003,5.399,141,2.78
Journal of International Economics,2003,5.387,113,1.8
Journal of Economic Perspectives,2003,5.245,162,4.1
RAND Journal of Economics,2003,5.219,92,1.72
Brookings Papers on Economic Activity,2003,5.181,70,2.25
Marketing Science,2003,4.991,108,1.96
Review of Economic Studies,2003,4.723,118,2.05
Journal of Financial and Quantitative Analysis,2003,4.543,97,1.45
Journal of Monetary Economics,2003,4.286,107,1.79
Review of Economics and Statistics,2003,3.899,134,1.78
Journal of Economic Growth,2003,3.812,72,1.7
Journal of Econometrics,2003,3.81,127,1.4
Journal of Management,2003,3.761,176,2.59
Journal of Accounting Research,2003,3.697,113,2.24
Journal of Consumer Research,2003,3.662,146,2.05
Accounting Review,2003,3.591,125,2.39
Journal of Labor Economics,2003,3.555,90,1.56
Financial Management,2003,3.285,56,1.64
Journal of Financial Intermediation,2003,3.276,63,1.07
World Bank Economic Review,2003,3.035,77,2.32
Economic Journal,2003,2.74,134,1.83
Journal of the Academy of Marketing Science,2003,2.701,139,1.88
Economic Policy,2003,2.69,63,2.7
Journal of Public Economics,2003,2.585,115,1.17
Economy and Society,2003,2.468,78,2.37
Journal of Economic Theory,2003,2.402,84,0.98
Journal of Business and Economic Statistics,2003,2.384,80,1.2
Journal of Industrial Economics,2003,2.236,67,1.71
International Economic Review,2003,2.203,74,1.12
Journal of Development of Economics,2003,2.172,115,1.3
European Economic Review,2003,2.039,110,1.78
Journal of Corporate Finance,2003,2.021,77,1.23
Journal of International Money and Finance,2003,1.976,77,1.34
Econometric Theory,2003,1.97,58,0.7
Journal of Economics and Management Strategy,2003,1.964,58,1.07
Economic Geography,2003,1.891,71,2.65
Financial Analysts Journal,2003,1.889,66,1.04
Journal of Human Resources,2003,1.85,86,1.17
Journal of Environmental Economics and Management,2003,1.829,101,1.43
Journal of International Business Studies,2003,1.801,156,2.04
Conflict Management and Peace Science,2003,1.723,32,0.33
Journal of Urban Economics,2003,1.715,89,1.23
"Journal of Money, Credit and Banking",2003,1.703,91,0.99
"Journal of Law, Economics, and Organization",2003,1.686,60,1.0
Structural Equation Modeling,2003,1.674,79,2.09
Post-Soviet Affairs,2003,1.644,36,1.24
Review of Economic Dynamics,2003,1.643,52,0.92
Journal of Economic Geography,2003,1.593,83,2.76
Games and Economic Behavior,2003,1.593,79,1.37
Journal of Applied Econometrics,2003,1.59,81,1.38
Review of Income and Wealth,2003,1.572,47,0.81
Real Estate Economics,2003,1.567,52,1.09
World Bank Research Observer,2003,1.562,55,1.26
Macroeconomic Dynamics,2003,1.528,39,0.74
Journal of Law and Economics,2003,1.438,71,0.77
Journal of Empirical Finance,2003,1.437,63,0.5
Journal of Banking and Finance,2003,1.437,126,1.04
Economic Theory,2003,1.364,49,0.59
Journal of Supply Chain Management,2003,1.349,71,1.27
Quantitative Finance,2003,1.345,56,2.23
Journal of Financial Research,2003,1.342,41,0.54
Industrial and Corporate Change,2003,1.337,92,2.26
Energy Journal,2003,1.318,64,1.25
National Tax Journal,2003,1.261,49,1.09
Entrepreneurship and Regional Development,2003,1.258,69,1.11
Journal of Transport Economics and Policy,2003,1.254,46,1.02
Economics of Education Review,2003,1.25,65,0.53
Regional Science and Urban Economics,2003,1.246,63,1.08
American Journal of Agricultural Economics,2003,1.231,90,0.95
World Development,2003,1.224,140,1.8
Journal of Economic Dynamics and Control,2003,1.217,75,1.04
International Journal of Electronic Commerce,2003,1.195,70,3.15
Ecological Economics,2003,1.153,161,1.38
Land Economics,2003,1.148,73,1.13
Review of World Economics,2003,1.108,44,0.73
Journal of Sports Economics,2003,1.051,36,1.1
Marketing Letters,2003,1.047,55,0.83
Journal of Financial Services Research,2003,1.028,44,0.84
Scandinavian Journal of Economics,2003,1.014,55,0.82
Journal of Real Estate Finance and Economics,2003,1.014,53,0.62
Journal of Agricultural and Resource Economics,2003,0.982,40,0.75
Explorations in Economic History,2003,0.973,36,0.71
Review of Finance,2003,0.968,43,0.42
Journal of Comparative Economics,2003,0.96,69,1.13
Economics and Politics,2003,0.958,37,0.59
Social Choice and Welfare,2003,0.955,42,0.6
Canadian Journal of Economics,2003,0.953,58,0.61
Journal of Common Market Studies,2003,0.947,76,1.64
Journal of Economic History,2003,0.942,50,0.64
Insurance: Mathematics and Economics,2003,0.933,62,0.9
Mathematical Finance,2003,0.932,65,0.96
Australian Journal of Agricultural and Resource Economics,2003,0.927,41,0.87
Agricultural Economics,2003,0.921,63,0.88
Business Ethics Quarterly,2003,0.913,57,0.82
Oxford Economic Papers,2003,0.911,60,1.24
Oxford Review of Economic Policy,2003,0.906,73,1.21
Journal of World Business,2003,0.906,87,1.64
Journal of Economic Surveys,2003,0.906,76,1.3
Journal of Derivatives,2003,0.884,39,0.44
"Journal of the Royal Statistical Society. Series A, (Statistics in Society)",2003,0.876,67,1.18
European Journal of Political Economy,2003,0.869,65,0.77
Economics of Transition,2003,0.865,44,0.7
Journal of Mathematical Economics,2003,0.852,35,0.4
Food Policy,2003,0.85,76,0.88
International Journal of Production Economics,2003,0.847,141,0.81
International Tax and Public Finance,2003,0.838,43,0.51
European Review of Agricultural Economics,2003,0.832,50,1.1
Journal of Agricultural Economics,2003,0.831,50,0.77
Internet Research,2003,0.824,68,1.04
Management Accounting Research,2003,0.822,72,0.84
Europe-Asia Studies,2003,0.819,47,1.04
Review of Derivatives Research,2003,0.813,24,1.0
Journal of Public Policy and Marketing,2003,0.808,60,0.87
Journal of Productivity Analysis,2003,0.8,61,0.89
Oxford Bulletin of Economics and Statistics,2003,0.796,61,1.2
International Finance,2003,0.795,34,0.58
Journal of International Marketing,2003,0.789,73,0.95
Journal of the Japanese and International Economies,2003,0.788,34,0.47
Auditing,2003,0.782,58,1.14
Economic History Review,2003,0.774,41,1.04
Contemporary Accounting Research,2003,0.768,77,0.78
Journal of Economic Behavior and Organization,2003,0.763,94,0.75
Journal of Portfolio Management,2003,0.76,42,0.54
International Journal of Game Theory,2003,0.758,37,0.43
Journal of Population Economics,2003,0.758,63,0.67
Journal of Risk and Uncertainty,2003,0.745,62,0.91
World Trade Review,2003,0.738,25,0.94
Economics Letters,2003,0.737,77,0.44
Energy Economics,2003,0.732,109,0.81
ASTIN Bulletin,2003,0.702,35,0.54
Environmental and Resource Economics,2003,0.701,77,0.99
China Economic Review,2003,0.7,56,1.39
Economica,2003,0.686,54,0.57
Harvard Business Review,2003,0.686,154,2.17
Review of International Political Economy,2003,0.68,56,1.13
Journal of Regulatory Economics,2003,0.677,48,0.67
"Work, Employment and Society",2003,0.666,64,1.03
Journal of Economics and Business,2003,0.662,43,0.24
Feminist Economics,2003,0.651,45,0.7
Journal of Futures Markets,2003,0.648,45,0.63
Journal of Evolutionary Economics,2003,0.646,61,1.2
Asia Pacific Journal of Management,2003,0.646,60,0.39
European Review of Economic History,2003,0.642,29,0.62
European Financial Management,2003,0.641,51,0.73
Journal of Industrial Ecology,2003,0.637,80,1.11
Scandinavian Actuarial Journal,2003,0.636,30,0.59
North American Journal of Economics and Finance,2003,0.627,29,1.06
Labour Economics,2003,0.624,60,0.68
Agribusiness,2003,0.603,36,0.38
Pacific Basin Finance Journal,2003,0.601,43,0.43
Economic Inquiry,2003,0.597,61,0.6
Science Technology and Human Values,2003,0.588,61,0.95
Family Business Review,2003,0.576,80,0.42
Resources and Energy Economics,2003,0.571,57,0.82
"Resources, Conservation and Recycling",2003,0.566,94,0.93
Economic Development Quarterly,2003,0.561,40,0.28
AgBioForum,2003,0.561,38,0.8
"Journal of Accounting, Auditing and Finance",2003,0.552,38,0.26
International Journal of Business Communication,2003,0.55,44,0.76
Bulletin of Indonesian Economic Studies,2003,0.541,27,1.41
"Accounting, Auditing and Accountability Journal",2003,0.531,76,1.42
Journal of Business Ethics,2003,0.525,132,0.91
Structural Change and Economic Dynamics,2003,0.525,38,0.81
Economic Development and Cultural Change,2003,0.523,59,0.52
Decisions in Economics and Finance,2003,0.516,12,0.15
Longe Range Planning,2003,0.512,81,1.02
Southern Economic Journal,2003,0.505,47,0.48
Journal of Housing Economics,2003,0.5,41,0.35
Marine Policy,2003,0.5,73,0.74
Defence and Peace Economics,2003,0.492,31,0.4
Information Economics and Policy,2003,0.49,43,0.84
Journal of Risk and Insurance,2003,0.484,53,0.53
Journal of Risk Finance,2003,0.481,24,0.44
Cambridge Journal of Economics,2003,0.479,70,0.76
Public Choice,2003,0.477,65,0.5
Journal of Consumer Culture,2003,0.475,45,1.28
Journal of Public Economic Theory,2003,0.475,28,0.28
Review of Industrial Organization,2003,0.474,49,0.41
Journal of Pension Economics and Finance,2003,0.458,22,0.64
Marine Resource Economics,2003,0.457,37,0.68
Forest Policy and Economics,2003,0.456,54,0.69
Tijdschrift voor Economische en Sociale Geografie,2003,0.454,45,1.0
Environment and Development Economics,2003,0.451,52,0.44
Economics and Philosophy,2003,0.442,32,0.54
Journal of Consumer Affairs,2003,0.437,49,0.92
Journal of Property Investment and Finance,2003,0.433,28,0.24
World Economy,2003,0.431,58,0.8
Journal of Economic Psychology,2003,0.43,77,0.93
Small Business Economics,2003,0.426,98,0.89
Socio-Economic Planning Sciences,2003,0.423,41,0.58
Japan and the World Economy,2003,0.415,28,0.23
Zeitschrift für Wirtschaftsgeographie,2003,0.415,14,0.67
Scottish Journal of Political Economy,2003,0.414,42,0.55
Journal of International Financial Management and Accounting,2003,0.407,30,0.36
North American Actuarial Journal,2003,0.407,38,0.27
Bulletin of Economic Research,2003,0.405,24,0.33
International Journal of Health Care Finance and Economics,2003,0.404,24,0.5
Contemporary Economic Policy,2003,0.399,41,0.47
Journal of Multinational Financial Management,2003,0.395,34,0.4
Empirical Economics,2003,0.395,45,0.51
Journal of Policy Modeling,2003,0.393,40,0.42
Journal of International Economic Law,2003,0.392,41,0.79
Kyklos,2003,0.391,51,0.74
International Review of Law and Economics,2003,0.377,37,0.52
Review of Financial Economics,2003,0.376,32,0.23
Review of Economic Design,2003,0.375,21,0.15
Journal of Advanced Transportation,2003,0.369,31,0.48
Research in Economics,2003,0.368,22,0.32
Financial Review,2003,0.367,37,0.18
Journal of Economic Issues,2003,0.364,36,0.46
Journal of Economic Education,2003,0.364,41,0.39
Journal of Cultural Economics,2003,0.36,34,1.19
Agricultural History Review,2003,0.355,17,0.17
International Business Review,2003,0.351,73,0.6
Fiscal Studies,2003,0.349,34,0.56
National Institute Economic Review,2003,0.347,27,0.3
Local Economy,2003,0.346,30,0.35
Journal of European Economic History,2003,0.345,3,0.5
Emerging Markets Finance and Trade,2003,0.344,24,0.66
Economic Record,2003,0.344,37,0.59
Computational Economics,2003,0.344,33,0.31
Economic Systems Research,2003,0.343,45,0.79
Eurasian Geography and Economics,2003,0.342,36,0.95
Manchester School,2003,0.335,34,0.33
Journal of Asian Economics,2003,0.335,37,0.61
Venture Capital,2003,0.334,39,0.7
Applied Economics,2003,0.333,67,0.35
Nonlinear Analysis: Real World Applications,2003,0.333,69,0.37
Asian-Pacific Economic Literature,2003,0.332,18,1.1
Business and Professional Communication Quarterly,2003,0.33,28,0.35
"Journal of International Financial Markets, Institutions and Money",2003,0.329,42,0.32
Journal of Family and Economic Issues,2003,0.321,38,0.55
"Peace Economics, Peace Science and Public Policy",2003,0.321,12,0.43
International Journal of Accounting,2003,0.319,45,0.22
Pulp and Paper Canada,2003,0.318,26,0.23
De Economist,2003,0.312,25,0.32
Journal of Post Keynesian Economics,2003,0.302,34,0.44
Economic Modelling,2003,0.301,50,0.32
Journal of Business Finance and Accounting,2003,0.3,60,0.46
Finance and Development,2003,0.299,28,0.72
Journal of Economics/ Zeitschrift für Nationalokonomie,2003,0.298,26,0.27
Cato Journal,2003,0.294,26,0.29
Journal of African Economies,2003,0.293,37,0.25
International Journal of Market Research,2003,0.293,43,0.48
German Economic Review,2003,0.291,28,0.44
Journal of World Trade,2003,0.289,29,0.45
International Marketing Review,2003,0.287,71,0.44
GENEVA Risk and Insurance Review,2003,0.281,17,0.24
Constitutional Political Economy,2003,0.28,23,0.55
China Information,2003,0.28,19,0.37
Journal of Media Economics,2003,0.276,26,0.48
Annals of Public and Cooperative Economics,2003,0.273,29,0.37
Journal of International Management,2003,0.271,56,0.82
Desarrollo Economico: Revista de Ciencias Sociales,2003,0.271,15,0.24
Agricultural Finance Review,2003,0.266,18,0.23
International Journal of Social Economics,2003,0.265,32,0.16
Berichte uber Landwirtschaft,2003,0.264,10,0.31
Economic Systems,2003,0.264,29,0.49
Geneva Papers on Risk and Insurance: Issues and Practice,2003,0.262,25,0.19
Canadian Journal of Agricultural Economics,2003,0.261,30,0.19
Applied Financial Economics,2003,0.26,44,0.19
South African Journal of Economics,2003,0.258,24,0.36
Jahrbucher für Nationalokonomie und Statistik,2003,0.258,17,0.17
Journal of Bioeconomics,2003,0.258,21,0.24
Australian Economic History Review,2003,0.257,13,0.0
Open Economies Review,2003,0.257,27,0.39
Trimestre Economico,2003,0.257,9,0.11
Review of Social Economy,2003,0.254,27,0.45
Review of Radical Political Economics,2003,0.253,23,0.27
Space Policy,2003,0.252,18,0.4
Engineering Economist,2003,0.252,28,0.33
Journal of Behavioral and Experimental Economics,2003,0.251,48,0.34
Politicka Ekonomie,2003,0.251,14,0.16
Journal of Institutional and Theoretical Economics,2003,0.251,30,0.36
Economic Notes,2003,0.249,17,0.16
Emerging Markets Review,2003,0.249,39,0.37
Managerial Auditing Journal,2003,0.245,43,0.24
International Trade Journal,2003,0.24,15,0.24
International Journal of Accounting Information Systems,2003,0.24,42,0.66
Applied Economics Letters,2003,0.24,39,0.21
Accounting and Finance,2003,0.236,38,0.26
Journal of Macroeconomics,2003,0.236,37,0.24
Ekonomicky Casopis,2003,0.235,14,0.08
European Journal of Law and Economics,2003,0.234,24,0.32
Critical Perspectives on Accounting,2003,0.234,52,0.36
Quarterly Review of Economics and Finance,2003,0.23,42,0.32
Review of Political Economy,2003,0.229,22,0.4
Post-Communist Economies,2003,0.227,22,0.4
Pacific Rim Property Research Journal,2003,0.225,13,0.22
Public Finance Review,2003,0.223,26,0.29
Finance a Uver,2003,0.218,15,0.06
Japanese Economic Review,2003,0.215,22,0.23
American Journal of Economics and Sociology,2003,0.214,31,0.44
Review of Quantitative Finance and Accounting,2003,0.214,33,0.2
International Journal of Finance and Economics,2003,0.214,33,0.33
IMA Journal Management Mathematics,2003,0.213,27,0.32
International Journal of Consumer Studies,2003,0.211,50,0.16
Foresight,2003,0.208,24,0.14
Economics of Planning,2003,0.206,15,0.28
History of Political Economy,2003,0.205,25,0.48
Recherches economiques de Louvain,2003,0.205,7,0.16
Economic and Social Review,2003,0.205,22,0.21
Indian Journal of Labour Economics,2003,0.204,10,0.12
International Review of Economics and Finance,2003,0.202,38,0.29
Review of Austrian Economics,2003,0.201,28,0.35
Theory and Decision,2003,0.199,30,0.28
Australian Economic Review,2003,0.198,25,0.29
Revue de l'OFCE,2003,0.197,12,0.22
Metroeconomica,2003,0.195,23,0.49
Journal of Consumer Policy,2003,0.194,34,0.35
Journal of Corporate Real Estate,2003,0.194,19,0.26
New Zealand Economic Papers,2003,0.194,10,0.03
Journal of Financial Regulation and Compliance,2003,0.193,14,0.13
Global Finance Journal,2003,0.191,26,0.38
Agrekon,2003,0.19,19,0.13
Betriebswirtschaftliche Forschung und Praxis,2003,0.19,8,0.13
"Environment, Development and Sustainability",2003,0.185,43,0.35
International Review of Applied Economics,2003,0.183,31,0.37
International Paperworld IPW,2003,0.182,6,0.05
International Review of Financial Analysis,2003,0.178,38,0.21
Asia-Pacific Financial Markets,2003,0.173,18,0.26
Economie Internationale,2003,0.172,12,0.12
"Journal of International Accounting, Auditing and Taxation",2003,0.171,33,0.3
Eastern European Economics,2003,0.171,17,0.26
Developing Economies,2003,0.169,21,0.17
Revue d'Etudes Comparatives Est-Ouest,2003,0.168,8,0.14
"Travail, Genre et Societe",2003,0.168,12,0.13
Journal of Financial Counseling and Planning,2003,0.168,29,0.07
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,2003,0.164,15,0.1
European Journal of Health Economics,2003,0.161,42,0.51
Revue Economique,2003,0.16,16,0.21
Education Economics,2003,0.158,27,0.26
Applied Health Economics and Health Policy,2003,0.158,30,0.53
Journal des Economistes et des Etudes Humaines,2003,0.154,9,0.14
New England Economic Review,2003,0.154,21,0.32
Journal of Asian Pacific Communication,2003,0.153,13,0.21
Annals of Economics and Finance,2003,0.15,19,0.22
Singapore Economic Review,2003,0.147,11,0.15
Indian Economic and Social History Review,2003,0.145,15,0.14
Tropical Science,2003,0.144,16,0.18
International Social Security Review,2003,0.143,21,0.3
Review of Black Political Economy,2003,0.142,13,0.03
International Journal of Sociology and Social Policy,2003,0.142,20,0.14
Crisis Intervention and Time-Limited Treatment,2003,0.142,9,0.0
Economics Bulletin,2003,0.139,23,0.11
Intereconomics,2003,0.138,17,0.1
International Advances in Economic Research,2003,0.136,20,0.13
Resources Policy,2003,0.135,50,0.18
Property Management,2003,0.135,21,0.05
Revue d'Economie du Developpement,2003,0.132,7,0.09
International Journal of Entrepreneurship and Innovation Management,2003,0.132,19,0.14
Journal of Economics and Finance,2003,0.131,25,0.1
Social Marketing Quarterly,2003,0.131,21,0.06
Environmental Economics and Policy Studies,2003,0.131,15,0.04
Historical Materialism,2003,0.129,24,0.18
Capital and Class,2003,0.129,20,0.44
Revista Espanola de Financiacion y Contabilidad,2003,0.128,13,0.07
Managerial Finance,2003,0.126,31,0.14
International Journal on Hydropower and Dams,2003,0.125,14,0.05
Acta Oeconomica,2003,0.124,10,0.11
Fortune,2003,0.124,13,0.08
Economic Analysis and Policy,2003,0.124,18,0.1
Politica Economica,2003,0.123,7,0.09
Mondes En Developpement,2003,0.123,9,0.04
Revue Internationale de Droit Economique,2003,0.123,6,0.16
Pacific Economic Review,2003,0.122,27,0.14
Statistical Journal of the IAOS,2003,0.121,12,0.05
Business Ethics,2003,0.121,21,0.0
South African Journal of Economic and Management Sciences,2003,0.121,11,0.0
Asian Affairs,2003,0.121,4,0.0
Asia-Pacific Journal of Accounting and Economics,2003,0.121,8,0.0
Economie et Prevision,2003,0.119,11,0.11
Business Information Review,2003,0.119,13,0.1
Hitotsubashi Journal of Economics,2003,0.118,8,0.05
University of Pennsylvania Journal of International Economic Law,2003,0.118,20,0.06
Economic and Labour Relations Review,2003,0.117,12,0.24
Research in Transportation Economics,2003,0.115,30,0.17
Atlantic Economic Journal,2003,0.111,19,0.09
Asian Affairs,2003,0.11,11,0.06
Journal of Financial Crime,2003,0.11,15,0.02
Journal of International Trade Law and Policy,2003,0.11,7,0.0
Journal of Economic Studies,2003,0.109,30,0.05
Journal of the Economic and Social History of the Orient,2003,0.109,22,0.12
New Perspectives on Turkey,2003,0.107,13,0.0
"Politics, Philosophy and Economics",2003,0.107,16,0.43
Fuels and Lubes International,2003,0.105,2,0.0
Journal of Income Distribution,2003,0.104,8,0.0
Fuzzy Economic Review,2003,0.104,8,0.0
Public Budgeting and Finance,2003,0.104,20,0.14
Revista Brasileira de Economia,2003,0.103,9,0.07
Etudes Rurales,2003,0.103,8,0.1
Betriebswirtschaftliche Forschung und Praxis,2003,0.103,5,0.0
Jahrbuch für Wirtschaftsgeschichte,2003,0.103,8,0.03
African Economic History,2003,0.102,7,0.0
Journal of Emerging Market Finance,2003,0.102,12,0.0
Studies in Nonlinear Dynamics and Econometrics,2003,0.102,25,0.18
Studies in Economics and Finance,2003,0.102,13,0.0
Research in Healthcare Financial Management,2003,0.101,8,0.0
Contributions to Political Economy,2003,0.101,15,0.25
America Latina en la Historia Economica,2003,0.101,3,0.0
Vierteljahresschrift fur Sozial und Wirtschaftsgeschichte,2003,0.101,5,0.14
Humanomics,2003,0.101,12,0.0
Ekonomiska Samfundets Tidskrift,2003,0.101,2,0.0
Economic Outlook,2003,0.101,6,0.18
Review of Accounting and Finance,2003,0.101,14,0.0
South Asia Research,2003,0.101,12,0.06
Young Consumers,2003,0.101,19,0.22
Juncture,2003,0.101,12,0.04
Revue Francaise de Gestion,2003,0.101,15,0.03
Journal of Hospitality Financial Management,2003,0.101,8,0.0
Revista Galega de Economia,2003,0.101,5,0.0
Economic Research-Ekonomska Istrazivanja,2003,0.1,11,0.08
International Insolvency Review,2003,0.1,6,0.05
Innovations,2003,0.1,6,0.0
Economic Change and Restructuring,2003,0.1,15,0.0
Review of Economic Conditions in Italy,2003,0.1,5,0.0
Asian Review of Accounting,2003,0.1,15,0.0
Entreprises et Histoire,2003,0.1,7,0.15
South Asia Economic Journal,2003,0.1,10,0.03
Journal of Taxation,2003,0.1,7,0.01
Reflets et Perspectives de la Vie Economique,2003,0.1,7,0.04
International Woodfiber Report,2003,0.1,1,0.0
Real Estate Taxation,2003,0.1,2,0.0
Global Economic Review,2003,0.1,15,0.0
Wood Markets Newsletter,2003,0.1,1,0.0
Banking Law Journal,2003,0.1,5,0.0
OPEC Bulletin,2003,0.1,2,0.0
Middle East Economic Survey,2003,0.1,1,0.0
European Journal of Finance,2003,0.0,24,0.0
Financial History Review,2003,0.0,15,0.0
"Financial Markets, Institutions and Instruments",2003,0.0,19,0.0
Journal of Commercial Biotechnology,2003,0.0,13,0.0
Review of Pacific Basin Financial Markets and Policies,2003,0.0,13,0.0
International Journal of Theoretical and Applied Finance,2003,0.0,25,0.0
Courrier des Pays de l'Est,2003,0.0,4,0.0
Advances in Macroeconomics,2003,0.0,7,0.0
Contributions to Macroeconomics,2003,0.0,10,0.0
Economics of Governance,2003,0.0,21,0.0
Topics in Macroeconomics,2003,0.0,13,0.0
"International Environmental Agreements: Politics, Law and Economics",2003,0.0,29,0.0
Journal of Real Estate Literature,2003,0.0,14,0.0
Journal of Real Estate Portfolio Management,2003,0.0,15,0.0
Journal of Real Estate Practice and Education,2003,0.0,11,0.0
Journal of Real Estate Research,2003,0.0,25,0.0
International Journal of the Economics of Business,2003,0.0,21,0.0
Journal of Economic Methodology,2003,0.0,26,0.0
Econometric Reviews,2003,0.0,36,0.0
Economist,2003,0.0,8,0.0
Applied Mathematical Finance,2003,0.0,24,0.0
Maritime Economics and Logistics,2003,0.0,39,0.0
Spanish Economic Review,2003,0.0,14,0.0
Advances in Economic Analysis and Policy,2003,0.0,17,0.0
Contributions to Theoretical Economics,2003,0.0,8,0.0
European Journal of the History of Economic Thought,2003,0.0,15,0.0
Experimental Economics,2003,0.0,42,0.0
Topics in Economic Analysis and Policy,2003,0.0,13,0.0
Topics in Theoretical Economics,2003,0.0,4,0.0
Contributions to Economic Analysis and Policy,2003,0.0,18,0.0
Journal of the History of Economic Thought,2003,0.0,15,0.0
Communications - Scientific Letters of the University of Zilina,2003,0.0,15,0.0
Advances in Theoretical Economics,2003,0.0,7,0.0
Journal of Business Economics and Management,2003,0.0,27,0.0
Journal of the European Economic Association,2003,0.0,71,0.0
International Journal of Agricultural Sustainability,2003,0.0,29,0.0
Accounting Perspectives,2003,0.0,13,0.0
Research in Accounting Regulation,2003,0.0,13,0.0
Australasian Marketing Journal,2003,0.0,24,0.0
Journal of Financial Services Marketing,2003,0.0,14,0.0
Consumption Markets and Culture,2003,0.0,19,0.0
Journal of the American Taxation Association,2003,0.0,15,0.0
Latin American Journal of Economics,2003,0.0,10,0.0
International Journal of Development Issues,2003,0.0,9,0.0
Quarterly Journal of Economics,2004,19.343,219,6.34
Journal of Finance,2004,11.732,249,4.75
Journal of Political Economy,2004,11.169,159,3.54
Econometrica,2004,10.098,158,3.01
Journal of Financial Economics,2004,9.74,206,3.61
Journal of Economic Literature,2004,9.732,140,6.83
Review of Financial Studies,2004,8.777,145,2.66
Review of Economic Studies,2004,8.338,118,2.36
Journal of International Economics,2004,6.599,113,1.94
Journal of Economic Growth,2004,6.357,72,3.21
American Economic Review,2004,5.709,237,2.27
Journal of Monetary Economics,2004,5.515,107,1.9
Journal of Marketing Research,2004,5.405,141,2.69
Journal of Marketing,2004,5.259,208,5.39
Brookings Papers on Economic Activity,2004,5.205,70,2.65
Journal of Economic Perspectives,2004,4.928,162,3.56
Journal of Financial and Quantitative Analysis,2004,4.781,97,1.68
Journal of Accounting and Economics,2004,4.768,122,2.42
Marketing Science,2004,4.765,108,3.14
Journal of Business,2004,4.295,81,1.92
Economic Journal,2004,4.202,134,2.83
Journal of Econometrics,2004,3.862,127,1.59
Journal of Financial Markets,2004,3.756,49,1.88
RAND Journal of Economics,2004,3.753,92,1.43
Journal of Economic Geography,2004,3.691,83,3.86
Review of Economics and Statistics,2004,3.685,134,2.02
World Bank Economic Review,2004,3.607,77,1.24
Journal of Business and Economic Statistics,2004,3.434,80,1.34
Econometric Theory,2004,3.417,58,0.8
Journal of Economic Theory,2004,3.402,84,1.11
European Economic Review,2004,3.184,110,1.74
Journal of Consumer Research,2004,2.998,146,2.26
Journal of Labor Economics,2004,2.831,90,1.36
Journal of Accounting Research,2004,2.819,113,2.18
Industrial and Corporate Change,2004,2.706,92,2.2
Financial Management,2004,2.651,56,1.0
Economic Policy,2004,2.562,63,2.1
