Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
313;19250;Work and Occupations;journal;7308884;1.523;Q1;58;10;54;789;138;53;2.69;78.9;United States;SAGE Publications;1974-ongoing;"Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";
314;15528;Annals of the American Academy of Political and Social Science;journal;27162;1.522;Q1;88;86;253;3423;709;242;2.81;39.8;United States;SAGE Publications;1890-ongoing;"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";
315;21100463834;Territory, Politics, Governance;journal;2162268X, 21622671;1.514;Q1;16;27;58;1739;164;50;1.95;64.41;United States;Routledge;2013-ongoing;"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";
316;25678;Journal of Research on Adolescence;journal;10508392, 15327795;1.513;Q1;83;78;191;4500;564;180;2.63;57.69;United Kingdom;Blackwell Publishing Inc.;1993, 1996-ongoing;"Cultural Studies (Q1); Developmental and Educational Psychology (Q1); Social Sciences (miscellaneous) (Q1); Behavioral Neuroscience (Q2)";
317;19600157322;Journal of Cheminformatics;journal;17582946;1.511;Q1;38;73;175;3030;712;173;3.94;41.51;United Kingdom;Chemistry Central;2009-ongoing;"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q1)";
318;19692;Economics of Education Review;journal;2727757;1.509;Q1;71;93;247;3728;539;243;1.87;40.09;United Kingdom;Elsevier Ltd.;1981-1982, 1984-ongoing;"Economics and Econometrics (Q1); Education (Q1)";
319;22609;Journal of Learning Disabilities;journal;222194;1.509;Q1;79;38;144;2516;413;141;2.42;66.21;United States;SAGE Publications;1973-ongoing;"Education (Q1); Health Professions (miscellaneous) (Q1); Health (social science) (Q1)";
320;19841;Social Psychiatry and Psychiatric Epidemiology;journal;14339285, 09337954;1.509;Q1;108;169;591;7814;1781;560;3.23;46.24;Germany;Dr. Dietrich Steinkopff Verlag;1988-ongoing;"Health (social science) (Q1); Psychiatry and Mental Health (Q1); Social Psychology (Q1); Epidemiology (Q2)";
321;19700181316;Journal of Public Relations Research;journal;1062726X;1.506;Q1;31;20;76;1131;172;72;2.52;56.55;United States;Lawrence Erlbaum Associates Inc.;1992-1995, 2009-ongoing;"Public Administration (Q1); Sociology and Political Science (Q1)";
322;28611;Geoforum;journal;167185;1.505;Q1;98;185;639;11877;1809;600;2.61;64.2;United Kingdom;Elsevier Ltd.;1970-ongoing;Sociology and Political Science (Q1);
323;24451;Child Abuse and Neglect;journal;1452134;1.502;Q1;129;176;565;8505;1602;500;2.68;48.32;Netherlands;Elsevier BV;1977-ongoing;"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Social Work (Q1)";
324;12859;Cognition and Instruction;journal;1532690X, 07370008;1.501;Q1;71;19;44;1222;128;40;1.74;64.32;United States;Lawrence Erlbaum Associates Inc.;1984-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)";
325;21368;Instructional Science;journal;204277;1.5;Q1;64;29;141;1673;371;139;2.65;57.69;Netherlands;Kluwer Academic Publishers;1972-1992, 1994-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1)";
326;7000153203;Journal of Studies on Alcohol and Drugs;journal;19371888, 19384114;1.498;Q1;116;133;342;4841;919;325;2.63;36.4;United States;Center of Alcohol Studies, Rutgers, The State University of New Jersey;2007-ongoing;"Health (social science) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)";
327;33784;American Journal of Physical Anthropology;journal;10968644, 00029483;1.497;Q1;108;216;572;18165;1500;545;2.68;84.1;United States;John Wiley & Sons Inc.;1918-ongoing;"Anatomy (Q1); Anthropology (Q1)";
328;13530;Journal of the Royal Statistical Society. Series A, (Statistics in Society);journal;09641998, 1467985X;1.497;Q1;72;45;139;1976;343;131;2.21;43.91;United Kingdom;Blackwell Publishing Inc.;1988-ongoing;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";
329;29655;Urban Geography;journal;2723638;1.496;Q1;58;70;185;4140;327;174;1.35;59.14;United Kingdom;Taylor & Francis;1980-ongoing;"Geography, Planning and Development (Q1); Urban Studies (Q1)";
330;12770;British Journal of Educational Psychology;journal;70998;1.492;Q1;85;38;116;2125;364;111;3.04;55.92;United States;Wiley-Blackwell;1931-1951, 1956-1958, 1960, 1962-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1)";
331;26043;Economy and Society;journal;03085147, 14695766;1.489;Q1;84;23;86;1431;237;82;2.92;62.22;United Kingdom;Routledge;1972-ongoing;"Business and International Management (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Social Sciences (miscellaneous) (Q1)";
332;15184;Duke Law Journal;journal;19399111, 00127086;1.479;Q1;39;41;101;3256;116;90;1.39;79.41;United States;Duke University Press;1978, 1980-1981, 1983-1986, 1988-1994, 1996-ongoing;Law (Q1);
333;26299;Harvard International Law Journal;journal;178063;1.477;Q1;36;12;24;1446;76;24;2.93;120.5;United States;Harvard University;1979, 1992, 1996-ongoing;"Law (Q1); Political Science and International Relations (Q1)";
334;5600155551;International Political Sociology;journal;17495687, 17495679;1.477;Q1;34;25;97;1667;261;95;2.29;66.68;United Kingdom;Oxford University Press;2008-ongoing;Sociology and Political Science (Q1);
335;13563;Educational and Psychological Measurement;journal;131644;1.474;Q1;83;49;143;1719;329;143;1.63;35.08;United States;SAGE Publications;1941-ongoing;"Applied Mathematics (Q1); Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)";
336;130080;Journal of Chemical Information and Modeling;journal;1549960X, 15499596;1.474;Q1;142;232;863;12287;3453;847;3.98;52.96;United States;American Chemical Society;2005-ongoing;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";
337;18300156708;Technical Communication Quarterly;journal;10572252;1.473;Q1;17;21;52;1068;124;51;2.03;50.86;United States;Taylor and Francis;1992-1995, 2009-ongoing;"Communication (Q1); Education (Q1)";
338;12028;Applied Psychological Measurement;journal;1466216;1.472;Q1;58;40;140;1067;194;137;1.07;26.68;United States;SAGE Publications;1977-ongoing;"Psychology (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";
339;22068;Vanderbilt Law Review;journal;422533;1.47;Q1;39;45;116;5794;124;115;1.16;128.76;United States;Vanderbilt University;1973-1976, 1978-1979, 1986-1987, 1989-1990, 1992-1993, 1995-ongoing;Law (Q1);
340;77191;Early Childhood Research Quarterly;journal;8852006;1.468;Q1;83;82;232;6449;689;228;2.64;78.65;United Kingdom;Elsevier Ltd.;1986-1992, 1994-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)";
341;27944;Review of International Studies;journal;14699044, 02602105;1.467;Q1;64;27;164;2878;295;157;1.58;106.59;United Kingdom;Cambridge University Press;1976, 1981-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
342;22890;Political Studies;journal;00323217, 14679248;1.465;Q1;75;51;238;2548;548;224;1.89;49.96;United States;SAGE Publications;1953-ongoing;Sociology and Political Science (Q1);
343;19251;Work, Employment and Society;journal;9500170;1.465;Q1;69;60;168;2650;448;166;2.37;44.17;United States;SAGE Publications;1987-ongoing;"Accounting (Q1); Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";
344;100147338;Modern Language Journal;journal;267902;1.458;Q1;68;55;173;3522;402;151;2.65;64.04;United States;Wiley-Blackwell;1916-1996, 1998-2001, 2005-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1)";
345;5600152890;Body and Society;journal;1357034X, 14603632;1.451;Q1;56;23;67;1435;190;66;2.61;62.39;United States;SAGE Publications;1995-ongoing;"Cultural Studies (Q1); Health (social science) (Q1); Social Psychology (Q1)";
346;11300153602;Parenting;journal;15295192, 15327922;1.45;Q1;41;17;49;1096;124;48;2.34;64.47;United States;Lawrence Erlbaum Associates Inc.;2007-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1)";
347;18053;New York University Law Review;journal;287881;1.439;Q1;46;38;154;5875;162;115;1.07;154.61;United States;New York University School of Law;1973-1976, 1979, 1985, 1987, 1991-1994, 1996-1999, 2001-ongoing;Law (Q1);
348;18651;Applied Linguistics;journal;01426001, 1477450X;1.435;Q1;84;36;102;1344;317;100;2.92;37.33;United Kingdom;Oxford University Press;1980-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
349;5700164300;Youth Violence and Juvenile Justice;journal;15412040;1.434;Q1;39;18;71;1245;170;71;2.2;69.17;United States;SAGE Publications;2003-ongoing;"Developmental and Educational Psychology (Q1); Health (social science) (Q1); Law (Q1)";
350;20898;Environment and Urbanization;journal;9562478;1.433;Q1;62;36;113;1378;338;106;3.04;38.28;United States;SAGE Publications;1989-ongoing;"Environmental Science (miscellaneous) (Q1); Urban Studies (Q1)";
351;30084;Journal of Sex Research;journal;224499;1.431;Q1;92;97;244;5984;769;237;2.98;61.69;United Kingdom;Taylor & Francis;1965-ongoing;"Gender Studies (Q1); History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";
352;15631;International Journal of Information Management;journal;2684012;1.428;Q1;91;127;248;7886;1639;245;5.99;62.09;United Kingdom;Elsevier Ltd.;1986-ongoing;"Computer Networks and Communications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";
353;23465;China Quarterly;journal;03057410, 14682648;1.427;Q1;74;47;142;2172;364;141;2.29;46.21;United Kingdom;Cambridge University Press;1960-ongoing;"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";
354;23859;Journal of Business Ethics;journal;15730697, 01674544;1.427;Q1;147;334;1041;25895;3223;1012;2.55;77.53;Netherlands;Kluwer Academic Publishers;1982-ongoing;"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)";
355;200147125;Learning, Media and Technology;journal;17439884;1.427;Q1;40;30;97;1231;277;86;3.2;41.03;United Kingdom;Taylor & Francis;2005-ongoing;"Education (Q1); Media Technology (Q1)";
356;5800185422;Theory and Research in Social Education;journal;00933104, 21631654;1.426;Q1;29;18;63;1446;97;60;1.49;80.33;United Kingdom;Taylor and Francis Inc.;1973-ongoing;"Education (Q1); Sociology and Political Science (Q1)";
357;16114;Electoral Studies;journal;2613794;1.425;Q1;60;149;383;6249;650;375;1.44;41.94;United Kingdom;Elsevier Ltd.;1982-ongoing;Political Science and International Relations (Q1);
358;25671;Washington Quarterly;journal;15309177, 0163660X;1.425;Q1;42;40;130;1170;224;114;1.9;29.25;United Kingdom;Taylor & Francis;1978-ongoing;"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
359;22810;British Journal of Criminology;journal;00070955, 14643529;1.424;Q1;82;61;167;4088;476;166;2.71;67.02;United Kingdom;Oxford University Press;1960-ongoing;"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Pathology and Forensic Medicine (Q1); Social Psychology (Q1)";
360;14091;Development and Change;journal;14677660, 0012155X;1.422;Q1;81;62;185;3753;444;184;1.55;60.53;United Kingdom;Blackwell Publishing Inc.;1970-ongoing;Development (Q1);
361;5700165148;European Constitutional Law Review;journal;15740196;1.422;Q1;21;30;79;793;109;71;1.22;26.43;United Kingdom;Cambridge University Press;2005-ongoing;Law (Q1);
362;25098;Future of Children;journal;15501558, 10548289;1.421;Q1;75;20;52;1355;202;50;3.29;67.75;United States;David and Lucile Packard Foundation;1994-ongoing;"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)";
363;29032;New Political Economy;journal;14699923, 13563467;1.419;Q1;48;38;125;2612;307;120;2.3;68.74;United Kingdom;Carfax Publishing Ltd.;1996-ongoing;"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";
364;23429;Assessing Writing;journal;10752935;1.418;Q1;28;18;71;818;187;58;2.56;45.44;United Kingdom;Elsevier Ltd.;1994-2000, 2002-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
365;14316;Harvard Law Review;journal;0017811X;1.418;Q1;73;125;376;10887;396;254;1.14;87.1;United States;Harvard Law Review Association;1973-ongoing;Law (Q1);
366;5800207893;Language Learning and Development;journal;15475441, 15473341;1.413;Q1;20;29;54;1527;112;53;2.17;52.66;United Kingdom;Taylor & Francis;2010-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
367;20853;Studies in Higher Education;journal;03075079, 1470174X;1.41;Q1;83;142;347;6560;931;335;2.27;46.2;United Kingdom;Carfax Publishing Ltd.;1976-ongoing;Education (Q1);
368;13933;Journal of Regional Science;journal;14679787, 00224146;1.409;Q1;67;43;111;2101;242;111;2.13;48.86;United Kingdom;Blackwell Publishing Inc.;1958-ongoing;"Development (Q1); Environmental Science (miscellaneous) (Q1)";
369;5000157803;Bilingualism;journal;14691841, 13667289;1.408;Q1;46;96;192;4449;460;172;2.53;46.34;United Kingdom;Cambridge University Press;2005-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
370;14500;Land Use Policy;journal;2648377;1.408;Q1;93;445;875;26860;3264;870;3.51;60.36;Netherlands;Elsevier BV;1984-ongoing;"Forestry (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";
371;26441;Social Science Research;journal;10960317, 0049089X;1.406;Q1;76;94;397;6767;869;395;1.76;71.99;United States;Elsevier Inc.;1972-ongoing;"Education (Q1); Sociology and Political Science (Q1)";
372;5700166179;Politics & Gender;journal;1743923X, 17439248;1.405;Q1;33;39;136;1892;186;131;1.29;48.51;United Kingdom;Cambridge University Press;2005-ongoing;"Gender Studies (Q1); Sociology and Political Science (Q1)";
373;5800179612;Social Neuroscience;journal;17470919, 17470927;1.405;Q1;56;55;172;3495;484;160;2.73;63.55;United Kingdom;Taylor & Francis;2006-ongoing;"Development (Q1); Social Psychology (Q1); Behavioral Neuroscience (Q2)";
374;21004;Environmental Impact Assessment Review;journal;1959255;1.404;Q1;80;76;191;4695;826;187;3.87;61.78;Netherlands;Elsevier BV;1980-1983, 1985-ongoing;"Ecology (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)";
375;25833;International Political Science Review;journal;1925121;1.4;Q1;46;47;102;2119;198;99;1.68;45.09;United States;SAGE Publications;1980-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
376;27343;Journal of Ethnic and Migration Studies;journal;14699451, 1369183X;1.399;Q1;75;143;311;7482;623;305;1.85;52.32;United Kingdom;Carfax Publishing Ltd.;1971-ongoing;"Arts and Humanities (miscellaneous) (Q1); Demography (Q1)";
377;13854;Housing Studies;journal;14661810, 02673037;1.398;Q1;64;48;179;2558;346;170;1.96;53.29;United Kingdom;Carfax Publishing Ltd.;1986-ongoing;"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";
378;19664;Criminal Justice and Behavior;journal;938548;1.391;Q1;85;95;222;6488;567;219;2.58;68.29;United States;SAGE Publications;1974-ongoing;"Law (Q1); Pathology and Forensic Medicine (Q1); Psychology (miscellaneous) (Q1)";
379;14400;European Journal of Communication;journal;2673231;1.389;Q1;51;38;112;1634;280;110;2.03;43;United States;SAGE Publications;1986-ongoing;"Communication (Q1); Language and Linguistics (Q1)";
380;29745;Information and Organization;journal;14717727;1.388;Q1;54;10;42;757;233;42;4.38;75.7;United Kingdom;Elsevier Ltd.;2001-ongoing;"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)";
381;11600153461;Journal of Island and Coastal Archaeology;journal;15561828, 15564894;1.381;Q1;24;28;72;1596;156;68;2.07;57;United States;Taylor and Francis;2006-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology (Q1); History (Q1); Oceanography (Q1)";
382;19700201681;Environmental Innovation and Societal Transitions;journal;22104224;1.38;Q1;34;38;108;2461;329;106;3.29;64.76;Netherlands;Elsevier BV;2011-ongoing;"Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)";
383;17545;Law and Human Behavior;journal;01477307, 1573661X;1.378;Q1;87;53;160;3004;480;157;2.91;56.68;United States;American Psychological Association Inc.;1977-ongoing;"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1)";
384;13738;International Journal of Audiology;journal;14992027, 17088186;1.377;Q1;63;134;401;4569;885;375;2.13;34.1;United Kingdom;Taylor & Francis;1962-1995, 1999-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1)";
385;27851;Marine Policy;journal;0308597X;1.376;Q1;79;320;843;16467;2406;835;2.6;51.46;United Kingdom;Elsevier Ltd.;1977-ongoing;"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)";
386;26599;European Urban and Regional Studies;journal;9697764;1.374;Q1;54;53;103;3218;263;92;2.52;60.72;United States;SAGE Publications;1994-ongoing;"Environmental Science (miscellaneous) (Q1); Urban Studies (Q1)";
387;4700152270;State Politics and Policy Quarterly;journal;15324400;1.373;Q1;33;16;77;916;74;71;0.68;57.25;United States;SAGE Publications Inc.;2001-ongoing;"Arts and Humanities (miscellaneous) (Q1); Political Science and International Relations (Q1)";
388;16956;Cities;journal;2642751;1.37;Q1;71;157;425;9129;1450;405;3.26;58.15;United Kingdom;Elsevier Ltd.;1983-ongoing;"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)";
389;29102;Health and Place;journal;13538292;1.368;Q1;89;107;418;5678;1338;414;2.78;53.07;Netherlands;Elsevier BV;1995-ongoing;"Geography, Planning and Development (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)";
390;23988;British Journal of Educational Technology;journal;00071013, 14678535;1.366;Q1;81;94;331;3660;1090;318;3.4;38.94;United Kingdom;Blackwell Publishing Inc.;1970-ongoing;"Education (Q1); E-learning (Q1)";
391;5700161890;International Feminist Journal of Politics;journal;14616742;1.365;Q1;41;41;112;1425;161;101;1.46;34.76;United Kingdom;Routledge;1999-ongoing;"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
392;21100788289;Mobile Media and Communication;journal;20501579, 20501587;1.363;Q1;18;23;81;1205;240;79;3.02;52.39;United States;SAGE Publications Inc.;2013-ongoing;"Communication (Q1); Computer Networks and Communications (Q1); Media Technology (Q1)";
393;15107;IEEE Transactions on Information Theory;journal;189448;1.362;Q1;249;467;1526;15478;5278;1512;3.19;33.14;United States;Institute of Electrical and Electronics Engineers;1969-ongoing;"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";
394;28122;Perspectives on Sexual and Reproductive Health;journal;15386341;1.361;Q1;83;51;149;989;220;100;2.79;19.39;United States;Wiley-Blackwell;1996-ongoing;"Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)";
395;4000150501;TESOL Quarterly;journal;398322;1.359;Q1;78;56;150;2106;351;142;2.6;37.61;United States;Wiley-Blackwell;1981-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
396;13995;Teachers College Record;journal;01614681, 14679620;1.358;Q1;78;116;358;7740;543;348;1.39;66.72;United Kingdom;Teachers College Record;1996-ongoing;Education (Q1);
397;26913;Advances in Health Sciences Education;journal;15731677, 13824996;1.357;Q1;54;77;247;3428;521;225;2.07;44.52;Netherlands;Kluwer Academic Publishers;1996-ongoing;"Education (Q1); Medicine (miscellaneous) (Q1)";
398;15506;Journal of Fluency Disorders;journal;0094730X;1.357;Q1;47;23;77;1297;200;69;2.91;56.39;Netherlands;Elsevier BV;1974, 1977-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1); LPN and LVN (Q1); Speech and Hearing (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)";
399;14035;Psychology of Women Quarterly;journal;14716402, 03616843;1.356;Q1;78;40;126;2419;415;121;3.13;60.48;United States;SAGE Publications;1976-ongoing;"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Gender Studies (Q1); Psychology (miscellaneous) (Q1)";
400;13124;Trauma, Violence and Abuse;journal;15248380, 15528324;1.355;Q1;70;25;100;2042;372;97;3;81.68;United States;SAGE Publications;2000-ongoing;"Applied Psychology (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)";
401;28324;Current Issues in Tourism;journal;13683500;1.349;Q1;57;86;180;5785;517;150;3.29;67.27;United Kingdom;Taylor & Francis;1998-ongoing;"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)";
402;20838;Transport Policy;journal;0967070X;1.348;Q1;77;152;395;6887;1160;387;2.72;45.31;United Kingdom;Elsevier Ltd.;1993-ongoing;"Geography, Planning and Development (Q1); Law (Q1); Transportation (Q1)";
403;14946;Group Processes and Intergroup Relations;journal;13684302;1.346;Q1;63;48;159;2745;361;153;1.98;57.19;United States;SAGE Publications;1998-ongoing;"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";
404;21100237201;Transportmetrica A: Transport Science;journal;23249943, 23249935;1.345;Q1;30;44;135;2013;324;132;2.5;45.75;United States;Taylor and Francis;2013-ongoing;"Engineering (miscellaneous) (Q1); Transportation (Q1)";
405;22222;Parliamentary Affairs;journal;14602482, 00312290;1.342;Q1;39;42;158;1598;249;156;1.54;38.05;United Kingdom;Oxford University Press;1947-1974, 1976-1979, 1981-ongoing;"Law (Q1); Sociology and Political Science (Q1)";
406;22087;Theoretical Criminology;journal;13624806;1.335;Q1;63;22;99;1280;225;90;2.13;58.18;United States;SAGE Publications;1997-ongoing;"Law (Q1); Pathology and Forensic Medicine (Q1); Sociology and Political Science (Q1)";
407;17600155126;Energy for Sustainable Development;journal;9730826;1.331;Q1;52;70;251;3411;835;245;3.1;48.73;Netherlands;Elsevier BV;1994-1997, 2000-ongoing;"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Renewable Energy, Sustainability and the Environment (Q1)";
408;97030;Research in Science Education;journal;0157244X;1.328;Q1;45;42;195;2337;339;191;1.51;55.64;Netherlands;Springer Netherlands;1971-ongoing;Education (Q1);
409;21100228129;Economics of Transportation;journal;22120122;1.325;Q1;15;12;58;469;96;55;1.51;39.08;United Kingdom;Elsevier Limited;2012-ongoing;"Economics, Econometrics and Finance (miscellaneous) (Q1); Transportation (Q1)";
410;17700156312;Environmental Policy and Governance;journal;1756932X;1.325;Q1;40;38;93;2090;220;91;2.19;55;United States;John Wiley & Sons Inc.;2009-ongoing;"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)";
411;14031;Psychology of Men and Masculinity;journal;15249220;1.324;Q1;50;31;161;1850;370;143;2.06;59.68;United States;American Psychological Association;2000-ongoing;"Applied Psychology (Q1); Gender Studies (Q1); Life-span and Life-course Studies (Q1); Social Psychology (Q1)";
412;16668;School Effectiveness and School Improvement;journal;9243453;1.323;Q1;47;36;88;2223;179;79;2.26;61.75;United Kingdom;Taylor & Francis;1990-ongoing;Education (Q1);
413;36450;Design Studies;journal;0142694X;1.32;Q1;83;44;103;2433;375;102;3.17;55.3;United Kingdom;Elsevier Ltd.;1979-ongoing;"Architecture (Q1); Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";
414;20764;Educational Technology Research and Development;journal;10421629;1.318;Q1;79;62;131;3712;407;126;2.65;59.87;United States;Springer New York LLC;1957, 1989-ongoing;Education (Q1);
415;16474;Journal of Contemporary China;journal;10670564, 14699400;1.318;Q1;42;61;180;4611;368;179;1.88;75.59;United Kingdom;Carfax Publishing Ltd.;1992-ongoing;"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";
416;18130;Sociology;journal;380385;1.316;Q1;96;75;205;3768;641;196;2.73;50.24;United States;SAGE Publications;1967-ongoing;Sociology and Political Science (Q1);
417;11600153664;Filosofija, Sociologija;journal;2357186;1.311;Q1;9;40;104;1003;71;97;0.87;25.08;Lithuania;Lithuanian Academy of Sciences Publishers;2008-ongoing;"Philosophy (Q1); Sociology and Political Science (Q1)";
418;5300152615;International Journal of Public Health;journal;16618564, 16618556;1.311;Q1;49;127;347;4226;916;308;2.48;33.28;Switzerland;Birkhauser Verlag;2007-ongoing;"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)";
419;28831;Public Culture;journal;15278018, 08992363;1.311;Q1;68;30;79;1246;197;64;2.86;41.53;United States;Duke University Press;1996-ongoing;"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Social Psychology (Q1)";
420;12282;Journal of Social Policy;journal;14697823, 00472794;1.309;Q1;57;19;140;819;285;129;1.77;43.11;United Kingdom;Cambridge University Press;1976, 1978-1984, 1986-ongoing;"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)";
421;147229;Discourse Studies;journal;14614456;1.306;Q1;48;33;102;1367;143;98;1.23;41.42;United States;SAGE Publications;1999-ongoing;"Anthropology (Q1); Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Social Psychology (Q1)";
422;13300154704;Geography Compass;journal;17498198;1.306;Q1;50;36;179;3087;467;178;2.24;85.75;United Kingdom;Blackwell Publishing Inc.;2008-ongoing;"Computers in Earth Sciences (Q1); Earth-Surface Processes (Q1); Social Sciences (miscellaneous) (Q1); Water Science and Technology (Q1); Atmospheric Science (Q2)";
423;130087;Annual Review of Applied Linguistics;journal;2671905;1.304;Q1;37;12;40;820;124;38;3.56;68.33;United Kingdom;Cambridge University Press;2005-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1); Psychology (miscellaneous) (Q1)";
424;26350;Journal of European Social Policy;journal;9589287;1.304;Q1;62;30;93;1613;209;92;1.95;53.77;United States;SAGE Publications;1991-ongoing;"Management, Monitoring, Policy and Law (Q1); Social Sciences (miscellaneous) (Q1)";
425;23411;Journal of Industrial Ecology;journal;10881980, 15309290;1.303;Q1;85;110;276;4956;974;260;3.67;45.05;United States;Wiley-Blackwell;1997-ongoing;"Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";
426;22481;Journal of Phonetics;journal;00954470, 10958576;1.3;Q1;71;51;149;3393;301;146;2.02;66.53;United States;Elsevier Inc.;1995-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1)";
